contas,nomenclatura_estrutura
DOACOES INDEDUTIVEIS - ADM^DESPESAS - ADM,( - ) DESPESAS GERAIS
AUTÔNOMOS^MÃO-DE-OBRA DIRETA,( - ) CUSTOS COM REMUNERAÇÃO
REPRESENTAÇÃO^ADMINISTRATIVAS,( - ) DESPESAS COM VIAGENS
VARIAÇÃO MONET.PASSIVA PROC.JUDICIAIS^DESPESAS FINANCEIRAS,( + / - ) VARIAÇÃO CAMBIAL PASSIVA 
GENEROS ALIMENTICIOS^RECEITA COM VENDA DE MERCADORIAS...,( + ) VENDAS DE PRODUTOS
COPIAS/AUTENTICACAO/ENCADERN^DESPESAS ADMINISTRATIVAS,( - ) DESPESAS ADMINISTRATIVAS
VARIACAO MONETARIA ATIVA^[NÃO IDENTIFICADA],( +/- ) OUTROS RESULTADOS FINANCEIROS
MANUTENCAO DE VEICULOS^MANUTENCAO DE VEICULOS,( - ) DESPESAS C/TRANSPORTES
PROCESSOS ( FPW WORKFLOW )^RECEITAS  C/ IMPLANTAÇÃO,RECEITA DE SERVIÇOS
AVISO PREVIO INDENIZAÇÕES^DESPESAS COM PESSOAL - ADMINISTRATIVO,( - ) DESPESAS COM REMUNERAÇÃO
VM S/ DEPÓSITO JUDICIAL^VARIAÇÕES MONETÁRIAS ATIVAS,( + ) RECEITA FINANCEIRA
METALFLEX^DEDUCOES DA RECEITA,NET SALES 3RD - DOMESTIC
DEBÊNTURES^TITULOS PARA NEGOCIAÇÃO,( + ) RECEITA BRUTA
RECEITAS DE CONVENIOS^RECEITA DE SERVIÇO MEDICO-HOSPITALAR,( + ) RECEITAS BRUTA
COMISSÃO FOLHA DE PAGAMENTO^SALÁRIOS E ADICIONAIS,( - ) SALARIES
INDADIMPLÊNCIA - BTG RECREIO SHOPPING^INADIMPLÊNCIA,( - ) INADIMPLÊNCIA
MANUTENÇÃO QUIOSQUES NOVOS - ELETRICA^[NÃO IDENTIFICADA],( - ) MANUTENÇÃO QUIOSQUES
PEDÁGIO/ESTACIONAMENTO^DESPESAS COM VIAGENS,( - ) DESPESAS COM VIAGENS
VALE REFEICAO^CUSTOS COM PESSOAL,( - ) PESSOAL
(-) DIGITALIZAÇÃO DE DOCUMENTOS^(-)DESPESAS SERVICOS DE TERCEIROS,( - ) DESPESAS COM TERCEIROS
DESPESAS DE IMAGEM^DESPESAS COM CLIENTES,( - ) DESPESAS COM MARKETING
SERVIÇOS DE TERCEIROS - PESSOA FISICA (AUTONOMOS)^DESPESAS GERAIS ADMINISTRATIVAS,( - ) DESPESAS COM TERCEIROS
ASSISTÊNCIA MÉDICA^ENCARGOS SOCIAS E BENEFÍCIOS,( - ) ENCARGOS - OPERACIONAL
TREINAMENTOS^PROVENTOS DE FOLHA PAGAMENTO,( - ) DESPESAS COM REMUNERAÇÃO
PRÊMIOS E GRATIFICAÇÕES^DESPESAS S/ PESSOAL,( - ) DESPESAS COM PESSOAL
SEGUROS^DESPESAS GERAIS ADMINISTRATIVAS,( - ) OUTRAS DESPESAS
DESPESAS FINANCEIRAS^ALOCAÇÕES / APROPRIAÇÕES,( - ) DESPESAS COM JUROS
RENDIMENTO S/ APLICACOES FINANCEIRAS^RENDIMENTOS S/ APLICACOES FINANCEIRAS - RF,( + ) RECEITA FINANCEIRA
CORREIOS E MALOTES^UTILIDADES,( - ) DESPESAS COMERCIAIS
SEGURO DE VIDA^BENEFICIOS,( - ) BENEFÍCIOS [P&D]
3.07.03.015.010   BENS DE PEQUENO VALOR^3.07.03.015   DESPESAS GERAIS,( - ) DESPESAS GERAIS
INDENIZAÇÕES TRABALHISTAS^DESPESAS COM PESSOAL,( - ) DESPESAS COM SALÁRIOS
3.05.01.003.024   TRANSPORTE DE EMPREGADOS^3.05.01.003   MÃO-DE-OBRA DIRETA,( - ) CUSTOS COM FOPAG
"ASSIST.MEDICA,ODONT.E HOSPITAL^DESPESAS C/MANUTENCAO",( - ) DESPESAS COM TERCEIROS
CONTRIB. SINDICAL E ASSOC CLASSE^DESPESAS GERAIS E ADM,( - ) DESPESAS GERAIS
FEIRAS E EVENTOS^SERVIÇOS DE TERCEIROS,( - ) DESPESAS COM TERCEIROS
DEMANDA DE ENERGIA ELÉTRICA^GASTOS FIXOS,( - ) OUTRAS DESPESAS
( - ) ICMS S/ OUTRAS SAIDAS^( - ) IMPOSTOS S/ REVENDAS DE MERCADORIAS,( - ) ICMS - REVENDA
TAXI/CONDUCOES EM EXPEDIENTE^DESPESAS DE EXPEDIENTE E GERAIS,( - ) DESPESAS COMERCIAIS
TELEX TELEGRAMA E FAX^DEDUCOES DA RECEITA,ADMINISTRATIVE
AÇÕES JURIDICAS^DESPESAS INDEDUTIVEIS,( - ) DESPESAS INDEDUTIVEIS
INSS S/ F�RIAS^RESULTADO DO EXERCICIO,( - ) HUMAN RESOURCES - COGS
MATERIAL DE LIMPEZA^DESPESAS GERAIS E ADM,( - ) DESPESAS GERAIS
SALARIOS^DEDUCOES DA RECEITA,ADMINISTRATIVE
MATERIAL USO OU CONSUMO^DESPESAS GERAIS,( - ) DESPESAS GERAIS
CUSTO DIR. C/LOCACAO EQUIP.^CUSTOS DIRETOS C/GASTOS GERAIS,( - ) CUSTOS DOS SERVIÇOS
RENDIMENTO APLIC. AUTOMATICA C/CORRENTE^GANHOS COM APLICAÇÕES FINANCEIRAS,( + ) RECEITA FINANCEIRA
DESPESAS COM INFORMATICA^DESPESAS GERAIS E ADM,( - ) DESPESAS COM SOFTWARES
INDUMENTARIOS^DESPESAS DA ADMINISTRAÇÃO,( - ) DESPESAS ADMINISTRATIVAS
DESCANSO SEMANAL REMUNERADO^SALÁRIOS E PROVENTOS,( - ) SALÁRIOS - ADMINISTRATIVO
INDENIZAÇÕES TRABALHISTAS^DESPESAS COM PESSOAL,( - ) DESPESAS COM SALÁRIOS
RECEITA SERVIÇOS SP^SERVIÇOS SP,( + ) RECEITA DE SERVIÇOS
COMISSÕES LIDERES COMERCIAIS COMPETÊNCIA^SERVIÇOS E MANUTENÇÃO,( - ) SERVIÇOS E MANUTENÇÕES
ENERGIA ELETRICA^RESULTADO DO EXERCICIO,( - ) RENT AND UTILITIES - G&A
RPA^DESPESAS COM PESSOAL,( - ) DESPESAS COM PESSOAL
FGTS^CUSTOS COM PESSOAL,( - ) PESSOAL
VALE TRANSPORTE^CAIXA GERAL,( - ) DESPESAS COM BENEFÍCIOS
PRÓ-LABORE^(-) PREJUIZOS DO PERIODO,( - ) DESPESAS COM PESSOAL - ADM
ISS - IMPOSTO S/SERVIÇOS^IMPOSTOS E CONTRIBUIÇÕES,( - ) ISS
DEVOLUCOES DE COMPRAS DE MERCADORIA^DEDUCAO DOS CUSTOS C/MERCADORIAS REVENDA,( - ) CPV
DESPESAS COM VEICULOS^CAIXA GERAL,( - ) VIAGENS E DESLOCAMENTOS
SERVICOS MEDICO E AMBULATORIAL^DEDUCOES DA RECEITA,COMMERCIAL
EQUIVALENCIA PATRIMONIAL^EQUIVALENCIA PARTICIP SOCIETARIA,( +/- ) EQUIVALÊNCIA PATRIMONIAL
TAXASASSOCIACOESDIVERSAS^TRIBUTOS/TAXAS/CONTRIBUIÇÕES,( - ) GERAIS E ADMINISTRATIVAS
DIARIAS PARA VIAGEM^[NÃO IDENTIFICADA],( - ) CUSTOS COM EQUIPAMENTOS
COMBUSTIVEIS E LUBRIFICANTES^DEDUCOES DA RECEITA,COMMERCIAL
REV.PROVISAO P/FERIAS^REVERSAO DE PROVISOES,( + ) RECEITA FINANCEIRA
DESPESAS BANCÁRIAS^JUROS E DESCONTOS,( - ) OUTROS IMPOSTOS E TAXAS
AJUSTES FINANCEIROS^OPERAÇÕES CCEE,( - ) MULTAS E ATUALIZAÇÃO MONETÁRIA
"JUROS S/EMPRESTIMOS E FINANCIAMENTOS^JUROS, MULTAS  E DESCONTOS","( - ) JUROS, MULTAS E DESCONTOS"
TELEFONE E INTENET^OUTRAS DESPESAS GERAIS E ADMINISTRATIVAS,( - ) DESPESAS GERAIS
"IMPOSTOS E TAXAS MUNICIPAIS^IMPOSTOS, TAXAS E CONTRIBUIÇÕES",( - ) OUTROS IMPOSTOS E TAXAS
MATERIAS PRIMAS^CUSTOS C/ INSUMO C/PRODUCAO DE BENS,( - ) CPV
ALOCAÇÕES / APROPRIAÇÕES^CUSTOS  DE CONSUMO PARA PRODUÇÃO,( - ) OUTROS CUSTOS VARIÁVEIS
FERIAS - PROVISAO^PROVISOES,( - ) ADICIONAIS DE PESSOAL
HONORARIO DE CONTABILIDADE / RH^DESPESAS ADMINISTRATIVAS OPERACIONAL,( - ) DESPESAS COM TERCEIROS
SALARIOS^SALARIOS E ADICIONAIS,( - ) DESPESAS COM FOPAG
HONORARIOS DA DIRETORIA^DIRETORIA E CONSELHO DE ADMINISTRACAO,( - ) DESPESAS COM PRÓ-LABORE
LANCHES E REFEIÇÕES^OUTROS CUSTOS,( - ) DESPESAS GERAIS
MATERIAL DE EXPEDIENTE^DESPESAS GERAIS,( - ) DESPESAS GERAIS E ADMINISTRATIVAS
FERRAMENTAS NAO IMOBILIZADAS^CAIXA GERAL,( - ) DESPESAS GERAIS
(-) RECUPERACAO COFINS.^DESPESAS/CUSTOS REPASSADOS...........,( - ) CUSTO DOS SERVIÇOS - OUTROS
SERVIÇOS DE CONSULTORIA^SERVIÇOS PROFISSIONAIS,( - ) DESPESAS COM TERCEIROS
COMUNICACOES DADOS VOZ - ADM^DESPESAS - ADM,( - ) DESPESAS GERAIS
MULTASEJUROSS/IMPOSTOS^TRIBUTOS/TAXAS/CONTRIBUIÇÕES,DESPESAS TRIBUTÁRIAS
DEPRECIACOES-COFINS REDUTOR-LEI 10.833/2003^DEPRECIACOES - PIS/COFINS REDUTOR,( - ) DEPRECIAÇÃO E AMORTIZAÇÃO
SALÁRIOS E ORDENADOS ADMINISTRAÇÃO^SALÁRIOS E 13º ADMINISTRAÇÃO,( - ) DESPESAS COM SALÁRIOS
MULTAS/JUROS ATRASO PAGAMENTO^TRIBUTOS E CONTRIBUICOES,( - ) OUTROS IMPOSTOS E TAXAS
DEPRECIAÇÕES E AMORTIZAÇÕES^GASTOS GERAIS NA PRESTAÇÃO DE SERVIÇOS,( - ) CUSTOS DOS SERVIÇOS
UNIFORMES^DESPESAS COM PESSOAL,( - ) DESPESAS COM SALÁRIOS
VALE TRANSPORTE^CAIXA GERAL,( - ) DESPESAS COM BENEFÍCIOS
RENDAS C/ CDI - PRE^RENDAS C/CDI PRE,( + ) TITULOS E VALORES MOBILIÁRIOS
CONDUÇÕES E ESTACIONAMENTO^GASTOS GERAIS,( - ) DESPESAS GERAIS
ADICIONAIS/ HORA EXTRA - ADM^ENCARGOS,( - ) DESPESAS COM ENCARGOS
BAIXADEATIVOS^COMOCUPAÇÃO,( - ) GERAIS E ADMINISTRATIVAS
VALE REFEICAO^BENEFICIOS,( - ) DESPESAS COM BENEFÍCIOS
FPW MEDICINA DO TRABALHO^RECEITAS  C/ IMPLANTAÇÃO,RECEITA DE SERVIÇOS
ROYALTIES - VZ TIJUCA^ROYALTIES VZ,( + ) ROYATIES
PUBLICIDADES^[NÃO IDENTIFICADA],( - ) DESPESAS COM MARKETING
PRESTACAO DE SERVICOS MERCADO EXTERNO^CREDITOS COM PESSOAS LIGADAS - NC,( + ) RECEITA BRUTA
DESPESA COM SERVIÇOS DE ENTREGA^DESPESA COM SERVIÇOS DE TERCEIROS - PJ,( - ) SERV TERCEIROS
COMISSAO S/ VENDAS (TAXA ADM.)^CUSTOS COM ADMINISTRADORAS DE CARTAO,( - ) ADM CARTÃO
COFINS SOBRE FATURAMENTO^IMPOSTOS S/ VENDAS E SERVICOS,( - ) PIS/COFINS
TRANSF.DESPESA CUSTO DIRETO^DEDUCOES DA RECEITA,TRANSITÓRIA APURAÇÃO DE CUSTO
ENERGIA ELETRICA^GASTOS GERAIS NA PRESTAÇÃO DE SERVIÇOS,( - ) CUSTOS FIXOS
ENERGIA^RECEITA OPERACIONAL BRUTA,( - ) ENERGIA
BENS MAT.PERMANENTE DEDUZIDOS^OUTRAS DESPESAS ADMINISTRATIVAS,( - ) DESPESAS GERAIS
CONGRESSOS E SEMINÁRIOS^ADMINISTRATIVAS,( - ) DESPESAS COM VIAGENS
MATERIAIS EMBALAGENS^RESULTADO DO EXERCICIO,( - ) DIRECT COST
ENERGIAELETRICA^COMOCUPAÇÃO,( - ) GERAIS E ADMINISTRATIVAS
357             BRINDES^891046        DESPESAS NÃO DEDUTIVEIS,( - ) DESPESAS GERAIS
OUTRAS RECEITAS^OUTRAS RECEITAS,( + ) OUTRAS RECEITAS
REFORCO CIA EQUIPE GANHANDORA^COLABORAR - ACAO LG,( - ) PRÁTICAS DE RH
COFINS^IMPOSTOS INCIDENTES SOBRE VENDAS,( - ) PIS/COFINS
IPTU^CONSERVACAO MANUTENCAO,( - ) CONSERVAÇÃO E MANUTENÇÃO
JUROS DE MORA^DESPESAS FINANCEIRAS,( - ) DESPESAS FINANCEIRAS
DESPESA COM OUTROS SERVIÇOS PRESTADOS PJ^DESPESA COM SERVIÇOS DE TERCEIROS - PJ,( - ) SERV TERCEIROS
VIAGENS E ESTADIAS^[NÃO IDENTIFICADA],( - ) SERVIÇOS DE TRANSPORTE
DESPESAS LEGAIS E JUDICIAIS^????????????,( - ) DESPESAS G & A
OUTROS MATERIAIS AUXILIARES^GASTOS FIXOS,( - ) MATERIAIS E SERVIÇOS
MULTAS E DESP. NÃO DEDUTÍVEIS^ESTADIAS,( - ) MULTAS E DESPESAS NÃO DEDUTIVEIS
JUROS SELIC^DESPESA,( + ) RECEITA FINANCEIRA
ENERGIA ELETRICA^[NÃO IDENTIFICADA],( - ) DESPESAS GERAIS
(-) COFINS S/VENDA PROD.PICOLE FRUTAS^(-) TRIBUTOS S/VENDA PROD.PICOLE FRUTAS,( - ) PIS/COFINS
32019 - DESPESAS LEGAIS E JUDICIAIS^333333333345 - DESPESAS COM FUNCIONAMENTO,( - ) DESPESAS GERAIS
HORA EXTRA^DESPESAS COM PESSOAL,( - ) DESPESAS COM SALÁRIOS
SEGUROS^DESPESAS FINANCEIRAS,( - ) DESPESAS GERAIS
SERVIÇOSDEAUDITORIA^UTILIZADESESERVIÇOS,GERAIS E ADMINISTRATIVAS
PROVISÃO DEVEDORES DUVIDOSOS^DESPESAS VARIÁVEIS,( +/- ) PDD
DESPESAS COM VEICULOS^CAIXA GERAL,( - ) VIAGENS E DESLOCAMENTOS
ASSISTÊNCIA TÉCNICA FILIAIS^RECEITA BRUTA DE VENDAS E SERVIÇOS,( + ) RECEITA DE SERVIÇOS
EVENTOS LOCAIS (ESPECIFICO UNDIADE)^CUSTOS COM PROPAGANDA E PUBLICIDADE,( - ) MARKETING
PEDAGIO^UTILIDADES E SERVICOS,( - ) DESPESAS GERAIS
(-) DESCANSO SEMANAL REMUNERADO - DSR^DESPESAS COM PESSOAL,( - ) DESPESAS COM SALÁRIOS
ESTAGIÁRIOS^SERVIÇOS PROFISSIONAIS,( - ) DESPESAS COM SALÁRIOS
COPIAS XEROX E AUTENTICACOES^PIMENTA VERDE ALIMENTOS LTDA - TREVO,( - ) OUTRAS DESPESAS GERAIS
PAT-PROG.ALIM.AO TRABALHADOR^DESPESAS COM PESSOAL,( - ) DESPESAS COM BENEFÍCIOS
ASSISTENCIA MEDICA^CAIXA GERAL,( - ) DESPESAS COM BENEFÍCIOS
1153            JUROS S/EMPRESTIMOS SOCIOS/ACIONISTAS^810301        DESPESAS FINANCEIRAS,( - ) DESPESAS FINANCEIRAS
JUROSPAGOSATERCEIROS^DESPESASFINANCEIRAS,( - ) DESPESAS FINANCEIRAS
SERVIÇOS CONTÁBEIS^SERVIÇOS PROFISSIONAIS,( - ) DESPESAS COM TERCEIROS
ASSITENCIA MEDICA E ODONTOLOGICA^CUSTOS COM PESSOAL,( - ) PESSOAL
DEPREC BENFEITORIAS^DEPRECIACOES E AMORTIZACOES,( - ) DEPRECIAÇÃO E AMORTIZAÇÃO
MANUTENÇÃO^RECEITAS DE SERVIÇOS RECORRENTES,( + ) SERVICES REVENUE
GRATIFICAÇÕES^DESPESAS TRABALHISTAS,( - ) DESPESAS GERAIS ADMINISTRATIVAS
FPW SEGURANÇA DO TRABALHO^RECEITAS C/ CONSULT. EVENT.,RECEITA DE SERVIÇOS
PRO LABORE^DESPESAS GERAIS E ADM,( - ) DESPESAS COM PRÓ-LABORE
INSS-EMPREGADOR^CAIXA GERAL,( - ) CUSTOS COM ENCARGOS
SERV. ASSESSORIA JURIDICA^DESPESAS C/SERV.DE ASSESSORIA,( - ) DESPESAS ADMINISTRATIVAS
RENDIMENTOS APLICAÇÕES FINANCEIRAS^RECEITA FINANCEIRAS,( + ) RECEITA FINANCEIRA
ALUGUEIS^CAIXA GERAL,( - ) DESPESAS COM LOCAÇÃO
RECEITAS DE COMISSOES E CLIENTES^RECEITAS DE SERVIÇOS PRESTADO,( + ) RECEITA BRUTA
ESTACIONAMENTO^BENEFICIOS A EMPREGADOS,( - ) DESPESAS COM BENEFÍCIOS
PIS^TRIBUTOS FEDERAIS,( - ) DESPESAS TRIBUTÁRIAS
SERV. VIGILANCIA^SERVICOS AUXILIARES E DE APOIO,( - ) CUSTOS DOS SERVIÇOS MÉDICOS
ASSINATURA CANAL - TV.^OUTRAS DESPESAS......................,( - ) OCUPAÇÃO
PATROCINIOS^DESPESAS INDEDUTIVEIS,( - ) DESPESAS COMERCIAIS
13º SALARIO^PROVISOES,( - ) DESPESAS COM SALÁRIOS
LUZ^[NÃO IDENTIFICADA],( - ) DESPESAS COM UTILIDADES
MULTASEJUROSS/IMPOSTOS^TRIBUTOS/TAXAS/CONTRIBUIÇÕES,( - ) OUTROS IMPOSTOS E TAXAS
PIS S/OUTRAS RECEITAS^DESPESAS TRIBUTARIAS,( - ) OUTROS IMPOSTOS E TAXAS
REPRESENTANTES^DEDUCOES DA RECEITA,TRANSITÓRIA APURAÇÃO DE CUSTO
SERVIÇOS - DESPACHANTE^SERVIÇOS DE TERCEIROS,( - ) DESPESAS COM TERCEIROS
RENDIMENTO DE APLIC FINANCEIRA^RECEITAS FINANCEIRAS,( + ) RECEITAS DE APLICAÇÕES FINANCEIRAS
ENC. S/PROV. FÉRIAS E 13.SAL.-FGTS^LUCROS E PERDAS,( - ) ENCARGOS SOCIAIS
SERV. MEDICINA OCUPACIONAL - DOC^CUSTOS C/SERVICOS TERCEIROS,( - ) CUSTOS FIXOS
MATERIAL DE INFORMATICA^[NÃO IDENTIFICADA],( - ) CUSTOS COM EQUIPAMENTOS
PROVISAO INSS^ENCARGOS SOCIAIS,( - ) DESPESAS COM ENCARGOS S/ FOLHA
"JUROS S/EMPRESTIMOS E FINANCIAMENTOS^JUROS, MULTAS  E DESCONTOS",( - ) DESPESAS COM JUROS
PRODUTOS ESPECIAIS^DEDUCOES DA RECEITA,NET SALES 3RD - DOMESTIC
ROYALTIES - BTG SHOPPING METROPOLITANO^ROYALTIES,( + ) ROYATIES
ENCARGOS SOCIAIS^(-) DESPESAS COM VENDAS,( - ) DESPESAS COM PESSOAL
SERVIÇO E MATERIAL DE LIMPEZA^MATERIAL DE CONSUMO,( - ) DESPESAS COM MATERIAIS
DESPESAS DE IMPORTAÇÃO^GASTOS GERAIS NA PRESTAÇÃO DE SERVIÇOS,( - ) CUSTOS DOS SERVIÇOS
TAXA DE SERVICOS-PDV NAO TRIBUTADO.^RECEITA COM VENDA DE MERCADORIAS......,( + ) VENDAS DE PRODUTOS
ENERGIA ELETRICA^AGUA/LUZ/TELEFONE/INTERNET,( - ) AGUA E ENERGIA ELETRICA
ALUGUEIS^CAIXA GERAL,( - ) DESPESAS COM LOCAÇÃO
REFEIÇÕES E LANCHES^[NÃO IDENTIFICADA],( - ) DESPESAS G & A
IPTU-IMPOSTOTERRITORIALURBANO^TRIBUTOS/TAXAS/CONTRIBUIÇÕES,( - ) GERAIS E ADMINISTRATIVAS
COPIAS XEROX E REPRODUCAO^[NÃO IDENTIFICADA],( - ) DESPESAS ADMINISTRATIVAS
SALARIOS^[NÃO IDENTIFICADA],( - ) DESPESAS COM SALÁRIOS
TAXIS E CONDUCOES^CUSTOS COM VIAGENS,( - ) VIAGENS
SALARIOS^ORDENADOS E SALARIOS,( - ) CUSTOS COM FOPAG
CUSTOS DE PEÇAS E SUPRIMENTOS^CUSTOS DE MERCADORIAS E SERVIÇOS,( - ) CMV
INSS.^ENCARGOS SOCIAIS.....................,COM PESSOAL
PROVPARAPERDA/GANHORDEATIVOS^OUTRASRECEITAS(DESPESAS)OPERACIONA,( +/- ) PROV. (REV.) PARA PERDA DE ATIVO
PIS S/ RECEITA BRUTA^CAIXA GERAL,( - ) PIS/COFINS
COMISSOES E GRATIFICACOES^CUSTOS COM PESSOAL,( - ) PESSOAL
INSS - SCP DOR^DESPESAS FINANCEIRAS,( - ) DESPESAS COM ENCARGOS
VR EQUIPE ADM^OUTRAS DESPESAS C/FUNCIONARIOS,( - ) DESPESAS COM BENEFÍCIOS
DEDUCAO DO CUSTO^CAIXA GERAL,( - ) DEDUÇÃO DO CUSTO
DESCANSO SEMANAL REMUNERADO PRODUÇÃO^DESPESAS TRABALHISTAS PRODUÇAO,( - ) DESPESAS COM SALÁRIOS
(-) ISS^(-) DEDUÇÃO DE IMPOSTOS,( - ) ISS
CONSERVAÇÃO DE VEÍCULOS/CAMINHÃO^(-) DESPESAS COM VENDAS,( - ) CONSERVAÇÃO (INVESTIMENTOS)
DESCONTOS OBTIDOS^CAIXA GERAL,( +/- ) OUTROS RESULTADOS FINANCEIROS
ASSISTENCIAODONTOLÓGICA^DESPESASCOMPESSOAL,( - ) GERAIS E ADMINISTRATIVAS
CUSTO INSTALACAO^CAIXA GERAL,( - ) CUSTOS DE INSTALAÇÃO
OUTROS CUSTOS ADMINISTRATIVOS DE SHOPPING^[NÃO IDENTIFICADA],( - ) CUSTOS DE ALUGUÉIS E SERVIÇOS
DESPESAS BANCARIAS^DESPESAS COM ATUALIZAÇÕES,( - ) TARIFAS BANCÁRIAS
LOCACOES DE EQUIPAMENTOS^DESPESAS GERAIS ADMINISTRATIVAS,( - ) DESPESAS GERAIS
MATERIAISDEMANUTENÇÃO^MANUTENÇÃO,( - ) DESPESAS GERAIS
REPAROS E MANUTENÇÃO DE EQUIPAMENTOS^DESPESAS COM MANUTENÇÃO,( - ) DESPESAS GERAIS
COFINS SOBRE COMPRAS FERTILIZANTES^CUSTOS DOS FERTILIZANTES VENDIDOS,( - ) CMV - FERTILIZANTES
MANUTENCAO^DESPESAS PREDIAIS E DE OCUPACAO,( - ) DESPESAS GERAIS
RECEITA DE CORRETAGEM (SPE)^RECEITA BRUTA OPERACIONAL,( + ) RECEITA BRUTA
DIREITOS AUTORAIS^DESPESAS GERAIS,( - ) DESPESAS COM MARKETING
DESPESASINDEDUTIVEISDIVERSAS^DESPESASINDEDUTIVEIS,( - ) DESPESAS GERAIS
JUROSSELIC^RECEITASFINANCEIRAS,( + ) RECEITAS FINANCEIRAS
HORAS EXTRAS / ADICIONAIS^DESPESAS COM PESSOAL,( - ) ADICIONAIS DE PESSOAL
ASSISTENCIA ODONTOLOGICA^[NÃO IDENTIFICADA],( - ) DESPESAS COM PESSOAL
OUTRASRECEITAS/DESPESASOPERACIONAIS^OUTRASRECEITAS(DESPESAS)OPERACIONA,( + ) OUTRAS RECEITAS (DESP.) OPERACIONAIS
MANUTENCAO DE VEICULOS^DESPESAS COM ENTREGA,( - ) CUSTOS COM FRETE
13° SALÁRIO^MÃO-DE-OBRA,( - ) REMUNERAÇÕES [P&D]
SERV.TERC.PJ-LIMPEZA^SERV.TERC.-PESSOA JURIDICA,( - ) DESPESAS COM TERCEIROS
"(-) COFINS S/VENDA MERCAD SORVETE 1,5L^(-) TRIBUTOS S/VENDA MERC SORVETE 1,5LT",( - ) PIS/COFINS
VENDADEATIVOIMOBILIZADO^COMOCUPAÇÃO,( +/- ) BAIXA DE IMOBILIZADO
MANUTENÇAO DE INFORMATICA^DESPESAS C/MANUTENCAO,( - ) DESPESAS GERAIS
AJUSTE A VLR PRESENTE LEI 11638^OUTRAS RECEITAS E DESPESAS FINANCEIRAS,( - ) DESPESAS FINANCEIRAS
VARIAÇÕES MONETÁRIAS^RESULTADO DO EXERCICIO,( +/- ) EXCHANGE RATE VARIATION
PIS SOBRE FOLHA DE PAGTO^ENCARGOS SOCIAIS,( - ) ADICIONAIS DE PESSOAL
AST - CONTRATOS^INSTALAÇÃO E MANUTENÇÃO,( - ) SERVIÇOS
CURSOS INCENTIVADOS^DEDUCOES DA RECEITA,TRANSITÓRIA APURAÇÃO DE CUSTO
SEGURO ACIDENTE DE TRABALHO^CUSTOS COM ENCARGOS,( - ) CUSTOS COM BENEFÍCIOS
SERVICOS MEDICO E AMBULATORIAL^DEDUCOES DA RECEITA,TRANSITÓRIA APURAÇÃO DE CUSTO
"MATS. DE SEMINARIOS, CONGR., EVENTOS EXT^MATERIAIS DE CONSUMO",( - ) DESPESAS GERAIS
REC DE ROYALTIES A C - BTG NORTE SHOPPING I^RECUP DE ROYALTIES DO ANO CORRENTE BTG,( + ) RECUP. DE ROYALTIES  ANO CORRENTE
IRPJ DIFERIDO_OUTROS^IMPOSTO DE RENDA DIFERIDO,( - ) IR/CS CORRENTE
SERVIÇO DE MONITORAMENTO DE CLIENTES^SERVIÇOS TOMADOS  - OP,( - ) SERVIÇOS TOMADOS - OP
ESTACIONAMENTOS E CONDUÇÕES^DESPESAS GERAIS,( - ) DESPESAS COMERCIAIS
INTERNET^DESPESAS GERAIS ADMINISTRATIVAS,( - ) CUSTOS DOS SERVIÇOS
OUTRAS PROVISOES^PROVISOES,GENERAL EXPENSES
CUSTO COM FRETES E CARRETOS^CUSTOS,( - ) FRETES
ARRENDAMENTO MERCANTIL - COMPUTADORES^ADMINISTRATIVAS,( - ) DESPESAS GERAIS
MATERIAL DE SERVICOS.^DESPESAS COM CONSUMO.................,( - ) MATERIAL DE USO E CONSUMO
(-) COFINS (SOBRE FATURAMENTO)^IMPOSTOS,( - ) PIS/COFINS
REFEICOES E LANCHES^OUTRAS DESPESAS ADMINISTRATIVAS,( - ) DESPESAS GERAIS
SERVICOS TERCEIRIZADOS^MANUTENÇÕES / REPAROS PREDIAIS,( - ) MATERIAL EXP E SISTEMAS
PIS S/RECEITAS FINANCEIRAS^[NÃO IDENTIFICADA],( - ) IMPOSTOS SOBRE A RECEITA
ROYALTIES - VZ RECREIO SHOPPING^ROYALTIES,( + ) ROYATIES
LOCAÇÃO OPME SP^LOCAÇÃO SP,( + ) RECEITA DE LOCAÇÃO
ALUGUEL DE IMOVEL - PF^OCUPAÇAO,( - ) DESPESAS COM LOCAÇÃO
TELEFONE E FAX^GASTOS FIXOS,( - ) COMUNICAÇÕES
FPW PONTO WORKFLOW^RECEITAS  C/ IMPLANTAÇÃO,RECEITA DE SERVIÇOS
INSSS/SALÁRIOS^DESPESASCOMENCARGOSSOCIAIS,( - ) GERAIS E ADMINISTRATIVAS
PIS^IMPOSTOS S/VENDAS E SERVIÇOS,( - ) PIS
IOF S/ OPERAÇÃO NO EXTERIOR - MKT^(-) PREJUIZOS DO PERIODO,( - ) DESPESAS FINANCEIRAS
FGTS S/13� SALARIO^RESULTADO DO EXERCICIO,( - ) HUMAN RESOURCES MKT
ENERGIA ELETRICA^DESPESAS GERAIS ADMINISTRATIVAS,( - ) DESPESAS COM ENERGIA ELÉTRICA
ISS-SERVICOS^DEDUCOES DA RECEITA,NET SALES 3RD - DOMESTIC
( - ) PIS S/ SERVIÇOS PRESTADOS^( - ) DEDUÇÕES,( - ) PIS/COFINS
"MULTAS DE MORA^IMPOSTOS, TAXAS E CONTRIBUICOES",( - ) OUTROS IMPOSTOS E TAXAS
